,legislatura,nome_parlamentar,sigla_partido,acoes
70,56,EROS BIONDINI,PROS,2
375,56,DARCI DE MATOS,PSD,2
59,56,ÁTILA LIRA,PSB,2
263,56,PADRE JOÃO,PT,2
265,56,PAULO GUEDES,PT,2
63,56,LUIZ FLÁVIO GOMES,PSB,2
55,56,PEDRO AUGUSTO BEZERRA,PTB,2
243,56,JAQUELINE CASSOL,Progressistas,2
399,56,CÉLIO SILVEIRA,PSDB,2
40,56,NORMA AYUB,DEM,2
327,56,SILAS CÂMARA,PRB,2
275,56,RUY CARNEIRO,PSDB,2
120,56,AROLDO MARTINS,PRB,2
119,56,PAULO GANIME,NOVO,2
110,56,PAULO ABI-ACKEL,PSDB,2
61,56,BETO PEREIRA,PSDB,2
32,56,DIEGO ANDRADE,PSD,2
106,56,MARCELO FREIXO,PSOL,2
122,56,CELSO SABINO,PSDB,2
37,56,AFONSO MOTTA,PDT,2
39,56,WLADIMIR GAROTINHO,PSD,2
361,56,NELSON BARBUDO,PSL,2
118,56,LUIZIANNE LINS,PT,2
297,56,FELÍCIO LATERÇA,PSL,3
264,56,SIDNEY LEITE,PSD,3
305,56,VINICIUS FARAH,MDB,3
186,56,LUIZ PHILIPPE DE ORLEANS E BRAGANÇA,PSL,3
330,56,JULIAN LEMOS,PSL,3
220,56,PAULO AZI,DEM,3
326,56,WALTER ALVES,MDB,3
313,56,ROGÉRIO PENINHA MENDONÇA,MDB,3
294,56,BENES LEOCÁDIO,PRB,3
279,56,VAVÁ MARTINS,PRB,3
230,56,LUCIO MOSQUINI,MDB,3
192,56,ALEXANDRE FROTA,PSL,3
315,56,GILBERTO NASCIMENTO,PSC,3
278,56,SHÉRIDAN,PSDB,3
320,56,OSSESIO SILVA,PRB,3
213,56,DANIEL SILVEIRA,PSL,3
285,56,HEITOR SCHUCH,PSB,3
224,56,FRED COSTA,Patriota,3
149,56,CÁSSIO ANDRADE,PSB,3
101,56,MÁRCIO JERRY,PCdoB,3
302,56,ADRIANO DO BALDY,Progressistas,3
365,56,MAGDA MOFATTO,PR,3
65,56,HEITOR FREIRE,PSL,3
74,56,LUCAS REDECKER,PSDB,3
75,56,DULCE MIRANDA,MDB,3
370,56,GEOVANIA DE SÁ,PSDB,3
140,56,ALEX SANTANA,PDT,3
80,56,CAROLINE DE TONI,PSL,3
369,56,ANTONIO BRITO,PSD,3
131,56,DELEGADO MARCELO FREITAS,PSL,3
129,56,MISAEL VARELLA,PSD,3
127,56,CELSO RUSSOMANNO,PRB,3
87,56,TIAGO DIMAS,Solidariedade,3
123,56,JORGE BRAZ,PRB,3
355,56,SAMUEL MOREIRA,PSDB,3
91,56,PEDRO LUCAS FERNANDES,PTB,3
367,56,DENIS BEZERRA,PSB,3
95,56,ZÉ SILVA,Solidariedade,3
360,56,LEANDRE,PV,3
100,56,BOSCO SARAIVA,Solidariedade,3
181,56,CARLOS CHIODINI,MDB,3
64,56,ELCIONE BARBALHO,MDB,3
58,56,DANRLEI DE DEUS HINTERHOLZ,PSD,3
350,56,IGOR KANNÁRIO,PHS,3
21,56,LOESTER TRUTIS,PSL,3
394,56,GUSTAVO FRUET,PDT,3
8,56,RUBENS OTONI,PT,3
12,56,GUILHERME DERRITE,Progressistas,3
173,56,ELI BORGES,Solidariedade,3
171,56,IRACEMA PORTELLA,Progressistas,3
169,56,MOSES RODRIGUES,MDB,3
168,56,EDMILSON RODRIGUES,PSOL,3
