,legislatura,nome_parlamentar,sigla_partido,acoes
102,56,CAPITÃO WAGNER,PROS,3
60,56,LÍDICE DA MATA,PSB,3
55,56,JORGE BRAZ,PRB,3
83,56,JOÃO MAIA,PR,3
49,56,NILTO TATTO,PT,3
50,56,VITOR LIPPI,PSDB,3
40,56,DULCE MIRANDA,MDB,3
39,56,CORONEL CHRISÓSTOMO,PSL,3
32,56,JOÃO MAIA,DEM,3
116,56,MAURÍCIO DZIEDRICKI,PTB,3
28,56,PROFESSORA ROSA NEIDE,PT,3
26,56,BETO PEREIRA,PSDB,3
121,56,BENEDITA DA SILVA,PT,3
124,56,PROFESSOR JOZIEL,PSL,3
125,56,FÁBIO TRAD,PSD,3
43,56,TIAGO DIMAS,Solidariedade,3
87,56,JOSEILDO RAMOS,PT,3
184,56,AUREO RIBEIRO,Solidariedade,4
57,56,CELSO RUSSOMANNO,PRB,4
35,56,RICARDO IZAR,PP,4
20,56,JOSÉ NUNES,PSD,4
74,56,WALDENOR PEREIRA,PT,4
106,56,EMANUEL PINHEIRO NETO,PTB,4
118,56,GLAUBER BRAGA,PSOL,4
90,56,JORGE SOLLA,PT,4
117,56,IVAN VALENTE,PSOL,4
88,56,RICARDO IZAR,PTB,4
113,56,FILIPE BARROS,PSL,4
145,56,CARLA ZAMBELLI,PSL,4
109,56,MARIA DO ROSÁRIO,PT,5
111,56,FRANCISCO JR.,PSD,5
163,56,MARCELO NILO,PSB,5
144,56,WELITON PRADO,PROS,5
199,56,CARMEN ZANOTTO,Cidadania,5
47,56,PERPÉTUA ALMEIDA,PCdoB,6
141,56,ALEXANDRE PADILHA,PT,6
183,56,FÉLIX MENDONÇA JÚNIOR,PDT,6
149,56,CORONEL TADEU,PSL,6
42,56,REGINALDO LOPES,PT,6
127,56,CÉLIO MOURA,PT,6
82,56,JOÃO DANIEL,PT,6
173,56,FLÁVIA MORAIS,PDT,7
122,56,POMPEO DE MATTOS,PDT,7
81,56,ELI BORGES,Solidariedade,7
9,56,ROGÉRIO CORREIA,PT,7
112,56,LUIZ LIMA,PSL,7
157,56,ALENCAR SANTANA BRAGA,PT,7
76,56,EDMILSON RODRIGUES,PSOL,7
62,56,BOHN GASS,PT,8
65,56,SILVIO COSTA FILHO,PRB,8
204,56,TED CONTI,PSB,9
95,56,ALEXANDRE FROTA,PSL,9
151,56,CLEBER VERDE,PRB,10
10,56,HILDO ROCHA,MDB,10
101,56,JOSÉ RICARDO,PT,10
14,56,LOESTER TRUTIS,PSL,11
128,56,JÚLIO CESAR,PSD,11
45,56,MÁRCIO JERRY,PCdoB,11
41,56,VINICIUS POIT,NOVO,12
155,56,CEZINHA DE MADUREIRA,PSD,12
172,56,ROBERTO ALVES,PRB,12
5,56,MARGARIDA SALOMÃO,PT,12
58,56,ALEX SANTANA,PDT,13
36,56,ANGELA AMIN,PP,15
181,56,BIBO NUNES,PSL,16
147,56,SÂMIA BOMFIM,PSOL,16
66,56,ERIKA KOKAY,PT,21
