PPB,1
Acredito,2
Patriota,2
PMN,2
Avante,3
PV,4
Podemos,6
Cidadania,6
PROS,9
PSDB,14
PR,16
Solidariedade,16
DEM,17
PTB,17
NOVO,17
PCdoB,22
MDB,24
PP,26
PSB,35
PSOL,38
PSD,53
PDT,54
PRB,58
PSL,86
PT,133
