Acredito,0
PPB,1
PSC,1
Solidariedade,2
PP,3
PTB,3
PRB,4
PSD,4
PDT,5
PSB,5
PSL,6
PSDB,8
DEM,11
Cidadania,13
PT,14
PR,18
