,legislatura,nome_parlamentar,sigla_partido,acoes
192,56,CARLOS ALBERTO,PSDB,4
169,56,URBANO,,4
170,56,ALÊ SILVA,PSL,4
178,56,COELHO,,4
0,56,CRUZ,,4
57,56,GURGEL,PSL,4
1,56,FERNANDA MELCHIONNA,PSOL,4
2,56,MARGARIDA SALOMÃO,PT,4
7,56,JOÃO H. CAMPOS,PSB,4
9,56,PONTES,,4
13,56,WLADIMIR GAROTINHO,PSD,4
17,56,PATRUS ANANIAS,PT,4
31,56,FREI ANASTACIO RIBEIRO,PT,4
154,56,CARLOS ALBERTO,DEM,4
61,56,ALINE GURGEL,PRB,4
64,56,ALENCAR,,4
68,56,MARCELO RAMOS,PR,4
76,56,LUIS MIRANDA,DEM,4
213,56,DANIEL ALMEIDA,PCdoB,4
148,56,MÁRCIO LABRE,PSL,4
135,56,DANILO CABRAL,PSB,4
133,56,LIMA,,4
41,56,LUIZ HENRIQUE,MDB,5
186,56,MANDETTA,DEM,5
150,56,ELIAS VAZ,PSB,5
212,56,SALLES,DEM,5
166,56,SÂMIA BOMFIM,PSOL,5
197,56,AUREO RIBEIRO,Solidariedade,6
202,56,ZÉ VITOR,PR,6
40,56,PERPÉTUA ALMEIDA,PCdoB,6
77,56,PAULO PIMENTA,PT,6
4,56,CESAR,,6
111,56,HUGO LEAL,PSD,6
36,56,MARCELO CALERO,Cidadania,6
14,56,MIRANDA,,7
18,56,MÁRIO HERINGER,PDT,7
152,56,ALCEU MOREIRA,MDB,7
203,56,ALEX MANENTE,Cidadania,7
153,56,ALEXANDRE PADILHA,PT,7
181,56,ELIAS,,7
53,56,BOSCO COSTA,PR,7
112,56,SÁ,PR,8
45,56,PAULO ROBERTO,MDB,8
8,56,SILVA,,10
96,56,CAPITÃO ALBERTO NETO,PRB,11
195,56,COSTA,,12
33,56,ALBUQUERQUE,,12
84,56,JOÃO DANIEL,PT,13
134,56,CAMINHA,,13
206,56,MOREIRA,,14
204,56,ZÉ CARLOS,PT,14
52,56,GOMES,,14
144,56,PADRE JOÃO,PT,14
42,56,NILTO TATTO,PT,15
146,56,PAULO GUEDES,PT,21
182,56,RIOS,,23
149,56,RIBEIRO,,26
163,56,ASSIS CARVALHO,PT,28
108,56,CARVALHO,,29
142,56,ASSIS,,30
130,56,FREITAS,,45
131,56,IVAN VALENTE,PSOL,46
