,acoes,numero_parlamentares,sigla_partido,percapita
28,0,2,Acredito,0.0
15,1,7,Avante,0.14285714285714285
22,1,2,PMN,0.5
10,1,33,PSB,0.030303030303030304
1,2,32,PRB,0.0625
8,2,57,PT,0.03508771929824561
9,2,11,PTB,0.18181818181818182
3,5,36,MDB,0.1388888888888889
